1,2
"(38.5705507, -121.471936)","(37.7509423, -122.4133835)"
"(38.5705507, -121.471936)","(37.74947239999999, -122.4111525)"
"(38.5705507, -121.471936)","(40.029928, -105.2585026)"
"(37.7258047, -122.4108576)","(32.7519772, -117.2345834)"
"(37.7258047, -122.4108576)","(32.7441429, -117.2350978)"
"(37.7258047, -122.4108576)","(32.7431327, -117.2449981)"
"(32.7667418, -117.0746284)","(32.7699714, -117.0719063)"
"(32.8231651, -117.1793093)","(32.826099, -117.182587)"
"(32.8214003, -117.1641589)","(44.9400126, -93.14970939999999)"
"(32.8214003, -117.1641589)","(40.7849921, -122.3083332)"
"(32.8214003, -117.1641589)","(32.7942808, -117.2072706)"
"(32.8214003, -117.1641589)","(32.8197687, -117.2126882)"
"(32.8214003, -117.1641589)","(32.810234, -117.208717)"
"(32.8214003, -117.1641589)","(32.8108193, -117.2009254)"
"(32.8214003, -117.1641589)","(32.8176975, -117.1887435)"
"(32.8214003, -117.1641589)","(32.8142508, -117.1851166)"
"(32.8214003, -117.1641589)","(32.8406331, -117.1970729)"
"(32.8214003, -117.1641589)","(32.8263486, -117.1728971)"
"(32.8214003, -117.1641589)","(32.8197846, -117.173444)"
"(32.8214003, -117.1641589)","(29.7866769, -98.70597079999999)"
"(32.8214003, -117.1641589)","(32.7339276, -117.1129323)"
"(32.8214003, -117.1641589)","(32.8278842, -117.1582196)"
"(32.8214003, -117.1641589)","(32.8271444, -117.1540176)"
"(32.8214003, -117.1641589)","(32.8269782, -117.1488462)"
"(32.8214003, -117.1641589)","(37.072449, -110.0313596)"
"(32.8214003, -117.1641589)","(32.84487319999999, -117.1270973)"
"(32.8214003, -117.1641589)","(32.8242047, -117.1274958)"
"(37.83137440000001, -122.20254)","(32.7409805, -117.1370684)"
"(37.83137440000001, -122.20254)","(39.7337266, -104.9020331)"
"(37.83137440000001, -122.20254)","(40.4137818, -3.6921271)"
"(37.83137440000001, -122.20254)","(32.729633, -117.125282)"
"(40.6840796, -73.98987249999999)","(32.810624, -117.1599087)"
"(32.7786043, -117.0305902)","(32.7902577, -117.0254079)"
"(33.076978, -116.9841672)","(33.0811201, -116.9894022)"
"(32.8996544, -117.1983927)","(32.8944978, -117.2021563)"
"(32.8996544, -117.1983927)","(32.9008781, -117.2053833)"
"(40.7501476, -73.9151945)","(32.7440498, -117.2120363)"
"(40.7501476, -73.9151945)","(32.7503917, -117.2089341)"
"(40.7156319, -73.9985027)","(32.7989021, -117.2493797)"
"(32.8077182, -117.1648033)","(32.810624, -117.1599087)"
"(42.2041627, -72.6185844)","(40.029928, -105.2585026)"
"(39.3391429, -76.54639080000001)","(32.801243, -117.159341)"
"(33.0109645, -117.0855235)","(33.0323653, -117.0810413)"
"(33.0109645, -117.0855235)","(30.2699912, -97.8611344)"
"(33.0109645, -117.0855235)","(33.0244475, -117.0860445)"
"(33.0109645, -117.0855235)","(33.0050085, -117.0708052)"
"(33.0109645, -117.0855235)","(34.6222353, -117.2346253)"
"(33.0109645, -117.0855235)","(33.0323653, -117.0810413)"
"(33.0050085, -117.0708052)","(33.0109645, -117.0855235)"
"(33.0050085, -117.0708052)","(33.0016953, -117.0750195)"
"(33.0050085, -117.0708052)","(33.0077553, -117.073246)"
"(33.0050085, -117.0708052)","(33.0067513, -117.0673342)"
"(33.0219416, -117.0652025)","(38.7154399, -121.0838957)"
"(33.0219416, -117.0652025)","(33.0244475, -117.0860445)"
"(32.8065048, -117.2419501)","(32.7827648, -117.2366369)"
"(32.8065048, -117.2419501)","(42.4347786, -83.054862)"
"(32.5708441, -117.0645134)","(33.7475595, -117.8676075)"
"(32.5708441, -117.0645134)","(32.5839503, -117.1078801)"
"(32.5708441, -117.0645134)","(32.7373174, -117.2460431)"
"(32.5708441, -117.0645134)","(32.5735711, -117.0509606)"
"(32.5708441, -117.0645134)","(37.3624664, -122.0141783)"
"(32.5708441, -117.0645134)","(37.2624164, -79.2742659)"
"(32.5708441, -117.0645134)","(32.5558122, -117.0624264)"
"(32.5708441, -117.0645134)","(32.5605576, -117.0493856)"
"(32.5708441, -117.0645134)","(35.069245, -89.90212729999999)"
"(32.5708441, -117.0645134)","(40.2613546, -74.052838)"
"(32.5708441, -117.0645134)","(32.7339276, -117.1129323)"
"(32.5838324, -117.0619883)","(32.62124800000001, -117.0765915)"
"(32.5838324, -117.0619883)","(32.5763469, -117.0567095)"
"(32.5838324, -117.0619883)","(32.7373174, -117.2460431)"
"(39.3083125, -76.8874067)","(32.798227, -117.1507997)"
"(32.8032625, -117.0136733)","(32.8009669, -117.019935)"
"(32.8032625, -117.0136733)","(32.8032973, -117.033801)"
"(32.9390205, -117.1284305)","(36.5341226, -121.8510037)"
"(32.9390205, -117.1284305)","(32.9822449, -117.1323171)"
"(32.9390205, -117.1284305)","(32.9803118, -117.1281512)"
"(32.9390205, -117.1284305)","(32.9778981, -117.1330592)"
"(32.9390205, -117.1284305)","(32.9745132, -117.1308414)"
"(32.9390205, -117.1284305)","(32.9700801, -117.1259992)"
"(32.9390205, -117.1284305)","(32.9630893, -117.1307777)"
"(32.9390205, -117.1284305)","(32.9617607, -117.1195708)"
"(32.9390205, -117.1284305)","(32.9579986, -117.1297832)"
"(32.9390205, -117.1284305)","(22.0527787, -159.3329733)"
"(32.9390205, -117.1284305)","(32.9403768, -117.1499473)"
"(32.9390205, -117.1284305)","(33.2883056, -111.7489143)"
"(32.9390205, -117.1284305)","(32.9242047, -117.1192315)"
"(32.9390205, -117.1284305)","(32.9250008, -117.1309776)"
"(32.9390205, -117.1284305)","(29.5599113, -95.1123579)"
"(32.9390205, -117.1284305)","(32.909373, -117.1602998)"
"(32.9390205, -117.1284305)","(32.9057264, -117.1359092)"
"(32.9390205, -117.1284305)","(32.8900452, -117.1990907)"
"(32.9390205, -117.1284305)","(32.8993761, -117.1207005)"
"(35.5305826, -82.2231693)","(37.768141, -122.4455479)"
"(30.3237714, -91.0048781)","(32.8008291, -117.2141037)"
0,0
"(32.8004957, -117.0179566)","(32.8015154, -117.0404231)"
"(32.8004957, -117.0179566)","(32.8009669, -117.019935)"
"(32.8004957, -117.0179566)","(32.8032973, -117.033801)"
