Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
CHATSWORTH BLVD,GARRISON PLACE,NARRAGANSETT AVE,"(32.7326478, -117.2351934)","(32.7326478, -117.2351934)",10100,10100,10100,10100,10100
CHATSWORTH BLVD,NARRAGANSETT AVE,NIMITZ BLVD,"(32.7338599, -117.233584)","(32.7338599, -117.233584)",1600,1600,1600,18900,12700
CHATSWORTH BLVD,NIMITZ BLVD,VOLTAIRE ST (N),"(32.737267, -117.2305981)","(32.737267, -117.2305981)",12600,12600,12600,13300,13300
CHATSWORTH BLVD,VOLTAIRE ST (N),HYACINTH DR,"(32.739397, -117.2278064)","(32.739397, -117.2278064)",13800,13800,13800,13900,13900
CHILDRENS WAY,BIRMINGHAM WAY,FROST ST,"(32.7962674, -117.1507574)","(32.7962674, -117.1507574)",7300,6600,6600,6600,6000
CHOLLAS PKWY,54TH ST,UNIVERSITY AVE,"(32.7443199, -117.0795966)","(32.7443199, -117.0795966)",4900,4900,4900,4900,4900
CHOLLAS RD/REDWOOD ST,EUCLID AVE,54TH ST,"(32.7353977, -117.087129)","(32.7353977, -117.087129)",4700,4700,4800,4800,2800
CLAIREMONT DR,CLAIREMONT MESA BLVD (E),MERRIMAC AVE,"(32.8329764, -117.2008751)","(32.8329764, -117.2008751)",11100,11100,11100,7800,7800
CLAIREMONT DR,MERRIMAC AVE,CLAIREMONT MESA BLVD (W),"(32.8332591, -117.2027506)","(32.8332591, -117.2027506)",10700,10700,10700,9600,9600
CLAIREMONT DR,CLAIREMONT MESA BLVD (W),BALBOA AVE,"(32.8329764, -117.2008751)","(32.8329764, -117.2008751)",21700,21700,21700,19900,19000
CLAIREMONT DR,BALBOA AVE,BURGENER BLVD,"(32.8116846, -117.2009218)","(32.8116846, -117.2009218)",14800,14800,14800,13300,17900
CLAIREMONT DR,BURGENER BLVD,DENVER ST,"(32.7944506, -117.1942593)","(32.7944506, -117.1942593)",24100,24100,24100,24100,24100
CLAIREMONT DR,DENVER ST,MORENA BLVD,"(32.7903717, -117.2033244)","(32.7903717, -117.2033244)",28900,28900,28900,28900,28900
CLAIREMONT DR,MORENA BLVD,INTERSTATE 5,"(32.7606416, -117.1978606)","(32.7606416, -117.1978606)",29000,29000,29000,30500,30500
CLAIREMONT DR,INTERSTATE 5,EAST MISSION BAY DR,"(32.7914371, -117.2067985)","(32.7914371, -117.2067985)",31500,20200,20200,20200,20200
CLAIREMONT MESA BLVD,LUNA AVE,MORAGA AVE,"(32.8312426, -117.2158965)","(32.8312426, -117.2158965)",16300,16600,16600,16600,16600
CLAIREMONT MESA BLVD,MORAGA AVE,CLAIREMONT DR,"(32.8286017, -117.213254)","(32.8286017, -117.213254)",17700,17700,17700,14500,14500
CLAIREMONT MESA BLVD,CLAIREMONT DR,KLEEFIELD AVE,"(32.8329764, -117.2008751)","(32.8329764, -117.2008751)",23800,23800,23800,20100,20100
CLAIREMONT MESA BLVD,KLEEFIELD AVE,GENESEE AVE,"(32.8327975, -117.2006233)","(32.8327975, -117.2006233)",31100,31100,31100,27100,26400
CLAIREMONT MESA BLVD,GENESEE AVE,DIANE AVE,"(32.8344171, -117.1948719)","(32.8344171, -117.1948719)",23000,23000,22200,22200,22200
CLAIREMONT MESA BLVD,DIANE AVE,LIMERICK AVE,"(32.8345248, -117.1870792)","(32.8345248, -117.1870792)",24900,27500,27500,27500,26500
CLAIREMONT MESA BLVD,LIMERICK AVE,INTERSTATE 805,"(32.8343275, -117.1787292)","(32.8343275, -117.1787292)",37100,31500,31500,31500,28800
CLAIREMONT MESA BLVD,INTERSTATE 805,SHAWLINE ST,"(32.8298445, -117.1669409)","(32.8298445, -117.1669409)",61400,61400,61400,61400,61400
CLAIREMONT MESA BLVD,SHAWLINE ST,CONVOY ST,"(32.832566, -117.1638388)","(32.832566, -117.1638388)",28300,32200,32200,32200,30800
CLAIREMONT MESA BLVD,CONVOY ST,MERCURY ST,"(32.8326704, -117.1532664)","(32.8326704, -117.1532664)",30200,30200,30200,29600,28900
CLAIREMONT MESA BLVD,MERCURY ST,KEARNY MESA RD,"(32.8327004, -117.148884)","(32.8327004, -117.148884)",29900,30300,30300,38200,38200
CLAIREMONT MESA BLVD,KEARNY MESA RD,ROUTE 163,"(32.8327575, -117.1435689)","(32.8327575, -117.1435689)",42100,42100,42100,42700,42700
CLAIREMONT MESA BLVD,ROUTE 163,KEARNY VILLA RD,"(32.8309854, -117.1422284)","(32.8309854, -117.1422284)",25900,25900,25900,25900,25900
CLAIREMONT MESA BLVD,KEARNY VILLA RD,RUFFIN RD,"(32.8315307, -117.1384621)","(32.8315307, -117.1384621)",25200,25200,25200,24700,21900
CLAIREMONT MESA BLVD,RUFFIN RD,INTERSTATE 15,"(32.831346, -117.1265675)","(32.831346, -117.1265675)",24500,24500,24500,26500,26000
CLAIREMONT MESA BLVD,INTERSTATE 15,ANTIGUA BLVD,"(32.842048, -117.122974)","(32.842048, -117.122974)",20500,20500,20500,17900,17900
CLAIREMONT MESA BLVD,ANTIGUA BLVD,SANTO RD,"(32.8314672, -117.1092149)","(32.8314672, -117.1092149)",14000,14000,14800,14800,14800
CLAIREMONT MESA BLVD,SANTO RD,RUEDA DR,"(32.82937700000001, -117.1034486)","(32.82937700000001, -117.1034486)",10700,9000,9300,9300,9300
CLEVELAND AVE,MADISON AVE,MEADE AVE,"(32.7609549, -117.1500432)","(32.7609549, -117.1500432)",2600,2600,2400,2400,2400
CLEVELAND AVE,MEADE AVE,WASHINGTON ST,"(32.7572053, -117.1500173)","(32.7572053, -117.1500173)",4900,4800,5200,5200,2700
CLEVELAND AVE,WASHINGTON ST,UNIVERSITY AVE,"(32.7520664, -117.14927)","(32.7520664, -117.14927)",7600,7400,6200,6200,8000
COLE ST,APPLETON ST,FOND DU LAC AVE,"(32.836067, -117.201393)","(32.836067, -117.201393)",4200,3600,3600,3600,3600
COLE ST,FOND DU LAC AVE,CLAIREMONT DR,"(32.8346634, -117.2013785)","(32.8346634, -117.2013785)",3900,3900,3900,4100,4100
COLLEGE AVE,NAVAJO RD,DEL CERRO BLVD,"(32.7937207, -117.0675461)","(32.7937207, -117.0675461)",20100,20100,20100,20100,20100
COLLEGE AVE,DEL CERRO BLVD,INTERSTATE 8,"(32.7834099, -117.0619221)","(32.7834099, -117.0619221)",37900,37900,37300,37300,37300
COLLEGE AVE,MONTEZUMA RD,EL CAJON BLVD,"(32.770776, -117.0699017)","(32.770776, -117.0699017)",28200,28200,27200,20100,20100
COLLEGE AVE,EL CAJON BLVD,UNIVERSITY AVE,"(32.7613114, -117.0669206)","(32.7613114, -117.0669206)",21200,22900,22900,20400,31100
COLLEGE AVE,UNIVERSITY AVE,STREAMVIEW DR,"(32.7527876, -117.064491)","(32.7527876, -117.064491)",24800,24900,24900,24900,22900
COLLEGE AVE,STREAMVIEW DR,COLLEGE GROVE DR,"(32.7456586, -117.0587729)","(32.7456586, -117.0587729)",30300,30300,29300,29300,29300
COLLEGE AVE,COLLEGE GROVE DR,ROUTE 94,"(32.7442502, -117.0536478)","(32.7442502, -117.0536478)",33100,33100,33100,33100,33100
COLLEGE GROVE DR,54TH ST,CAMINITO CHOLLAS,"(32.7359146, -117.0795489)","(32.7359146, -117.0795489)",8600,8600,8900,9100,9100
COLLEGE GROVE DR,CAMINITO CHOLLAS,COLLEGE GROVE WAY,"(32.7356605, -117.0715119)","(32.7356605, -117.0715119)",9500,8900,8900,8900,8900
COLLEGE GROVE DR,COLLEGE GROVE WAY,COLLEGE AVE,"(32.7381452, -117.0581881)","(32.7381452, -117.0581881)",8900,8900,13500,11300,11300
COLLEGE GROVE WY,COLLEGE GROVE DR,ROUTE 94,"(32.7381452, -117.0581881)","(32.7381452, -117.0581881)",7800,7800,6600,6600,6600
COLLWOOD BLVD,MONTEZUMA RD,MONROE AVE,"(32.770117, -117.0860717)","(32.770117, -117.0860717)",29000,29000,29000,23200,23200
COLLWOOD BLVD,MONROE AVE,54TH ST,"(32.7599227, -117.080684)","(32.7599227, -117.080684)",21600,21600,19400,20000,20000
COLUMBIA ST,JUNIPER ST,HAWTHORN ST,"(32.7285844, -117.1696004)","(32.7285844, -117.1696004)",3400,3400,3400,3700,3700
COLUMBIA ST,HAWTHORN ST,GRAPE ST,"(32.7266414, -117.1685873)","(32.7266414, -117.1685873)",5800,6300,6300,6300,6300
COLUMBIA ST,GRAPE ST,ASH ST,"(32.7256568, -117.1681808)","(32.7256568, -117.1681808)",3200,3200,3200,3200,3300
COLUMBIA ST,ASH ST,A ST,"(32.7198727, -117.1673961)","(32.7198727, -117.1673961)",6500,6500,4800,4800,4800
COLUMBIA ST,A ST,B ST,"(32.7188075, -117.167415)","(32.7188075, -117.167415)",8500,8500,8500,5800,5800
COLUMBIA ST,B ST,C ST,"(32.7177711, -117.1674008)","(32.7177711, -117.1674008)",5100,5100,3200,5300,5300
COLUMBIA ST,C ST,BROADWAY,"(32.7166829, -117.1674165)","(32.7166829, -117.1674165)",5000,5000,5000,5300,5300
COMMERCE AVE,MIRAMAR RD,CAMINO SANTA FE,"(32.8782143, -117.1683561)","(32.8782143, -117.1683561)",46000,46000,46000,4200,4500
COMMERCIAL ST,NATIONAL AVE,KEARNEY AVE,"(32.7053062, -117.1517645)","(32.7053062, -117.1517645)",1600,1600,1600,2900,2900
COMSTOCK ST,ULRIC ST (N),LINDA VISTA RD,"(32.7829383, -117.1697321)","(32.7829383, -117.1697321)",4700,4700,4700,4900,4900
COMSTOCK ST,LINDA VISTA RD,ULRIC ST (S),"(32.7833848, -117.1718042)","(32.7833848, -117.1718042)",4900,4900,4900,4900,4100
CONFERENCE WAY,CARMEL MOUNTAIN RD,WORLD TRADE DR,"(32.9857168, -117.0754328)","(32.9857168, -117.0754328)",5400,4100,4100,4100,5900
CONGRESS ST,WALLACE ST,SAN DIEGO AVE,"(32.754929, -117.1979433)","(32.754929, -117.1979433)",4300,4300,4300,5300,4700
CONVOY CT,SHAWLINE ST,RUFFNER ST,"(32.8346776, -117.1638792)","(32.8346776, -117.1638792)",4600,4600,4600,5100,5400
CONVOY CT,RUFFNER ST,CONVOY ST,"(32.8347099, -117.1592585)","(32.8347099, -117.1592585)",6000,4400,4400,4400,4400
CONVOY ST,N END,ROUTE 52,"(32.8271444, -117.1540176)","(32.8271444, -117.1540176)",5200,5200,5200,5700,5700
CONVOY ST,ROUTE 52,CONVOY CT,"(32.8385158, -117.1515475)","(32.8385158, -117.1515475)",18700,18700,18700,18700,24700
CONVOY ST,CONVOY CT,CLAIREMONT MESA BLVD,"(32.834488, -117.152809)","(32.834488, -117.152809)",16500,16500,16500,16500,18100
CONVOY ST,CLAIREMONT MESA BLVD,BALBOA AVE,"(32.8326704, -117.1532664)","(32.8326704, -117.1532664)",23700,23500,23500,22100,20400
CONVOY ST,BALBOA AVE,OTHELLO AVE,"(32.8218337, -117.1551454)","(32.8218337, -117.1551454)",27600,28200,28200,28200,26600
CONVOY ST,OTHELLO AVE,KEARNY MESA RD,"(32.8171515, -117.1548985)","(32.8171515, -117.1548985)",26500,26500,22600,22600,22600
CONVOY ST,KEARNY MESA RD,AERO DR,"(32.8134795, -117.1525877)","(32.8134795, -117.1525877)",30000,30000,23800,23800,23800
COPLEY DR,HICKMAN FIELD DR,COPLEY PARK PLACE,"(32.8402827, -117.1675121)","(32.8402827, -117.1675121)",9700,9700,9700,11300,11800
COPLEY PARK PLACE,RUFFNER ST/COPLEY DR,CONVOY ST,"(32.8359113, -117.1592525)","(32.8359113, -117.1592525)",9400,10300,10300,10300,10300
CORONADO AVE,BACON ST,SUNSET CLIFFS BLVD,"(32.7426746, -117.2546578)","(32.7426746, -117.2546578)",1600,1600,1600,1400,1400
CORONADO AVE (SO.BAY),15TH ST (SO.BAY),SATURN BLVD,"(32.576506, -117.1013431)","(32.576506, -117.1013431)",26900,26900,26900,21200,24100
CORONADO AVE (SO.BAY),SATURN BLVD,HOLLISTER ST,"(32.5764371, -117.0928404)","(32.5764371, -117.0928404)",28200,28300,28300,28300,28300
CORONADO AVE (SO.BAY),HOLLISTER ST,INTERSTATE 5,"(32.5764214, -117.0841304)","(32.5764214, -117.0841304)",27700,27300,27300,27300,27300
CORONADO AVE (SO.BAY),INTERSTATE 5,OUTER RD,"(32.5767571, -117.0841518)","(32.5767571, -117.0841518)",27400,27400,27400,19700,19700
CORONADO AVE (SO.BAY),OUTER RD,25TH ST (SO.BAY),"(32.5764255, -117.0805893)","(32.5764255, -117.0805893)",20800,20800,21500,21500,21500
CORONADO AVE (SO.BAY),25TH ST (SO.BAY),BEYER BLVD,"(32.5764278, -117.0797718)","(32.5764278, -117.0797718)",17800,17800,17800,15500,13500
CORONADO AVE (SO.BAY),BEYER BLVD,BEYER WAY,"(32.57684080000001, -117.0689119)","(32.57684080000001, -117.0689119)",4900,5500,5500,3800,3800
CORONADO BRIDGE/ROUTE 75,INTERSTATE 5,CITY LIMITS,"(32.6990388, -117.1399128)","(32.6990388, -117.1399128)",79100,79100,79100,79100,79100
COWLES MOUNTAIN BLVD,END,BOULDER LAKE AVE,"(32.800227, -117.0260656)","(32.800227, -117.0260656)",1700,1700,1500,1500,1500
COWLES MOUNTAIN BLVD,BOULDER LAKE AVE,NAVAJO RD,"(32.80888420000001, -117.0207163)","(32.80888420000001, -117.0207163)",3000,3000,3000,3000,3000
COWLES MOUNTAIN BLVD,NAVAJO RD,SAN CARLOS DR,"(32.8031405, -117.02536)","(32.8031405, -117.02536)",3800,3800,4200,4200,4200
COWLES MOUNTAIN BLVD,SAN CARLOS DR,JACKSON DR,"(32.8008054, -117.0260973)","(32.8008054, -117.0260973)",2900,2900,2800,2800,2800
COWLES MOUNTAIN BLVD,JACKSON DR,EL PASO ST,"(32.7953145, -117.0281753)","(32.7953145, -117.0281753)",1800,1800,1700,1700,1700
CRAWFORD ST,ZION AVE,TWAIN AVE,"(32.7929654, -117.0938318)","(32.7929654, -117.0938318)",3000,3000,2800,2800,2800
CROWN POINT DR,INGRAHAM ST,LAMONT ST,"(32.7798885, -117.2361704)","(32.7798885, -117.2361704)",7500,8100,8100,8100,5000
CURLEW ST,ROBINSON AVE,REYNARD WAY,"(32.7466371, -117.1677439)","(32.7466371, -117.1677439)",1900,1900,1300,1300,1300
DAIRY MART RD,BEYER BLVD,SAN YSIDRO BLVD (W),"(32.567038, -117.062411)","(32.567038, -117.062411)",14700,12700,12700,12700,12700
DAIRY MART RD,SAN YSIDRO BLVD (W),INTERSTATE 5,"(32.5596055, -117.0623701)","(32.5596055, -117.0623701)",21700,18800,18800,18800,18800
DAIRY MART RD,INTERSTATE 5,SERVANDO AVE,"(32.5577757, -117.0630552)","(32.5577757, -117.0630552)",13000,13800,13800,12700,12700
DAIRY MART RD,SERVANDO AVE,MONUMENT RD,"(32.5567699, -117.0624412)","(32.5567699, -117.0624412)",10200,10200,10200,8400,10000
DALEY CENTER DR,AERO DR,GRANITE RIDGE DR,"(32.8085752, -117.119055)","(32.8085752, -117.119055)",9400,9600,9600,9600,9600
DALEY CENTER DR,GRANITE RIDGE DR,STONECREST BLVD,"(32.8070095, -117.1183996)","(32.8070095, -117.1183996)",5900,5900,5900,4900,4900
DAMON AVE,MISSION BAY DR,SANTA FE ST,"(32.8075055, -117.2193254)","(32.8075055, -117.2193254)",4200,4200,4100,4100,4100
DATSUN ST,OTAY VALLEY RD,HERITAGE RD,"(32.5719163, -116.9987305)","(32.5719163, -116.9987305)",9000,9000,9000,7500,8600
DECORO ST,GENESEE AVE,CARGILL AVE,"(32.8643315, -117.212759)","(32.8643315, -117.212759)",7500,7500,7500,6100,6100
DEEP DELL RD,BROOKHAVEN RD,DEEP DELL CT,"(32.6964718, -117.0308494)","(32.6964718, -117.0308494)",5500,5500,4300,4300,4300
DEEP DELL RD,DEEP DELL CT,PARADISE VALLEY RD,"(32.6961008, -117.0299021)","(32.6961008, -117.0299021)",4900,5000,5000,5000,5700
DEL CERRO BLVD,WEST END,COLLEGE AVE,"(32.782804, -117.0659967)","(32.782804, -117.0659967)",3200,3200,1600,1600,1600
DEL CERRO BLVD,COLLEGE BLVD,MADRA AVE,"(32.7834099, -117.0619221)","(32.7834099, -117.0619221)",8700,8700,8600,8600,8600
DEL CERRO BLVD,MADRA AVE,LINFIELD AVE,"(32.7828886, -117.0592254)","(32.7828886, -117.0592254)",2400,2400,2300,2300,2300
DEL MAR HEIGHTS RD,NOB AVENUE,MANGO DR,"(32.9484756, -117.2597182)","(32.9484756, -117.2597182)",21400,21400,19600,19600,20600
DEL MAR HEIGHTS RD,MANGO DR,INTERSTATE 5,"(32.948758, -117.2474592)","(32.948758, -117.2474592)",15700,15700,15700,33300,32800
DEL MAR HEIGHTS RD,INTERSTATE 5,HIGH BLUFF DR,"(32.9497743, -117.242575)","(32.9497743, -117.242575)",48600,48600,48600,46500,47500
DEL MAR HEIGHTS RD,HIGH BLUFF DR,EL CAMINO REAL,"(32.9517395, -117.2394244)","(32.9517395, -117.2394244)",35700,35700,34400,34400,47000
DEL MAR HEIGHTS RD,EL CAMINO REAL,CARMEL COUNTRY RD,"(32.9537787, -117.2339629)","(32.9537787, -117.2339629)",27900,27900,27900,30500,26500
DEL MAR HEIGHTS RD,CARMEL COUNTRY RD,LANSDALE DR,"(32.9554415, -117.229761)","(32.9554415, -117.229761)",21000,21000,16800,16800,22200
DEL MAR HEIGHTS RD,LANSDALE DR,CARMEL CANYON RD,"(32.9560051, -117.220869)","(32.9560051, -117.220869)",14300,14300,14300,16800,14100
DEL MAR HEIGHTS RD,CARMEL CANYON RD,SEAGROVE ST,"(32.9557673, -117.2136563)","(32.9557673, -117.2136563)",14600,14600,9700,9700,9700
DEL SOL BLVD,BEYER BLVD,BEYER WAY,"(32.5740243, -117.0665054)","(32.5740243, -117.0665054)",8100,8100,8100,8500,8600
DEL SOL BLVD,BEYER WAY,PICADOR BLVD,"(32.574306, -117.0653)","(32.574306, -117.0653)",10000,10000,10000,8100,7700
DEL SOL BLVD,PICADOR BLVD,PICCARD AVE,"(32.5733739, -117.0540188)","(32.5733739, -117.0540188)",13700,13700,13700,11500,11500
DEL SOL BLVD,PICCARD AVE,TWINING AVE,"(32.5736559, -117.0498739)","(32.5736559, -117.0498739)",10100,8800,8800,8800,8800
DEL SOL BLVD,TWINING AVE,INTERSTATE 805,"(32.5736247, -117.0454409)","(32.5736247, -117.0454409)",7700,7700,7700,7000,7000
DEL SOL BLVD,INTERSTATE 805,END,"(32.5733023, -117.0559326)","(32.5733023, -117.0559326)",7700,7700,7700,6700,6700
DELTA ST,VESTA ST,43RD ST,"(32.6890131, -117.1057125)","(32.6890131, -117.1057125)",2000,2000,1900,1900,1900
DENVER ST,GESNER ST,CLAIREMONT DR,"(32.7916201, -117.2030862)","(32.7916201, -117.2030862)",5500,5500,5500,5500,4700
DENVER ST,CLAIREMONT DR,INGULF ST,"(32.7903717, -117.2033244)","(32.7903717, -117.2033244)",9000,9000,9000,9000,9000
DENVER ST,INGULF ST,MILTON ST,"(32.78928399999999, -117.203506)","(32.78928399999999, -117.203506)",3100,3100,3100,3000,3000
DERRICK DR,TRIANA ST,CHATEAU DR,"(32.8295359, -117.182095)","(32.8295359, -117.182095)",3400,3400,3400,3000,3000
DERRICK DR,CHATEAU DR,GENESEE AVE,"(32.825283, -117.183029)","(32.825283, -117.183029)",6200,6200,6200,5300,5100
DIAMOND ST,INGRAHAM ST,LAMONT ST,"(32.802567, -117.24173)","(32.802567, -117.24173)",3800,4100,3300,3300,4300
DIANE AVE,CLAIREMONT MESA BLVD,CONRAD AVE,"(32.8345248, -117.1870792)","(32.8345248, -117.1870792)",6200,6200,6200,5100,6100
DIANE AVE,CONRAD AVE,SAN CLEMENTE CANYON PARK,"(32.836026, -117.1870553)","(32.836026, -117.1870553)",3100,3100,3800,3800,3800
DISTRIBUTION AVE,CARROLL RD,MIRAMAR RD,"(32.885738, -117.163116)","(32.885738, -117.163116)",5000,5000,5000,5000,3000
DIVISION ST,MAIN ST,NATIONAL CITY BLVD,"(32.6823813, -117.1108875)","(32.6823813, -117.1108875)",15900,15900,15900,17800,17800
DIVISION ST,NATIONAL CITY BLVD,43RD ST/HIGHLAND AVE,"(32.6823813, -117.1108875)","(32.6823813, -117.1108875)",13600,13600,13600,11800,11800
DIVISION ST,HARBISON AVE,61ST ST,"(32.6915879, -117.0778561)","(32.6915879, -117.0778561)",9300,9300,9300,12900,12900
DIVISION ST,61ST ST,VINCA WAY,"(32.6946242, -117.0669168)","(32.6946242, -117.0669168)",6600,6600,6600,6600,6600
DIVISION ST,VINCA WAY,PLAZA BLVD,"(32.6949342, -117.065917)","(32.6949342, -117.065917)",5300,5300,5300,5600,5600
DOWDY DR,SILVERTON AVE,MIRAMAR RD,"(32.8906316, -117.1469495)","(32.8906316, -117.1469495)",7700,7700,7900,7900,7900
DUENDA RD,MATINAL CIR,W BERNARDO DR,"(33.0391091, -117.0866642)","(33.0391091, -117.0866642)",3900,4500,3400,3400,3400
E ST,6TH AVE,PARK BLVD,"(32.7146727, -117.1592402)","(32.7146727, -117.1592402)",3200,3100,2100,2100,2700
E ST,PARK BLVD,17TH AVE,"(32.7147038, -117.1538526)","(32.7147038, -117.1538526)",5900,5900,5900,5900,5900
EAST BEYER BLVD,OTAY MESA RD/BEYER BL,SAN YSIDRO BLVD (E),"(32.5581911, -117.0407876)","(32.5581911, -117.0407876)",3800,6700,6700,6700,3100
EAST MISSION BAY DR,CLAIREMONT DR,SEA WORLD DR,"(32.7904422, -117.2077634)","(32.7904422, -117.2077634)",4500,4500,4500,4500,5900
EASTGATE MALL,REGENTS RD,GENESEE AVE,"(32.8768526, -117.21836)","(32.8768526, -117.21836)",5100,5100,5100,4300,4900
EASTGATE MALL,GENESEE AVE,INTERSTATE 805,"(32.877602, -117.2139483)","(32.877602, -117.2139483)",10500,10500,12500,11500,11500
EASTGATE MALL,INTERSTATE 805,MIRAMAR RD,"(32.8775132, -117.209971)","(32.8775132, -117.209971)",15900,15900,15900,13500,15000
EBERS ST,WEST POINT LOMA BLVD,NEWPORT AVE,"(32.7505797, -117.240038)","(32.7505797, -117.240038)",7900,7900,7900,5100,5400
ECKSTROM AVE/HATHAWAY ST,BALBOA AVE,ASHFORD ST,"(32.8205808, -117.1671252)","(32.8205808, -117.1671252)",8100,8100,8100,7300,7300
EL CAJON BLVD,PARK BLVD,FLORIDA ST,"(32.7551867, -117.1462665)","(32.7551867, -117.1462665)",21000,21000,21000,20800,20800
EL CAJON BLVD,FLORIDA ST,TEXAS ST,"(32.7552016, -117.1437718)","(32.7552016, -117.1437718)",23000,22900,22900,22900,21500
EL CAJON BLVD,TEXAS ST,UTAH ST,"(32.7552129, -117.1388452)","(32.7552129, -117.1388452)",25700,27100,27100,27100,30700
EL CAJON BLVD,UTAH ST,30TH ST,"(32.7553961, -117.1326561)","(32.7553961, -117.1326561)",33700,36200,29200,29200,32600
EL CAJON BLVD,30TH ST,INTERSTATE 805,"(32.7554061, -117.1301928)","(32.7554061, -117.1301928)",39600,37900,39900,39900,35000
EL CAJON BLVD,INTERSTATE 805,35TH ST,"(32.7549502, -117.1240954)","(32.7549502, -117.1240954)",31600,31600,27800,21600,21600
EL CAJON BLVD,35TH ST,40TH ST,"(32.7553089, -117.117929)","(32.7553089, -117.117929)",21700,21700,21500,21500,21200
EL CAJON BLVD,40TH ST,MARLBOROUGH AVE,"(32.7551158, -117.1093992)","(32.7551158, -117.1093992)",27000,27000,26300,24800,24800
EL CAJON BLVD,MARLBOROUGH AVE,43RD ST,"(32.7550923, -117.1061375)","(32.7550923, -117.1061375)",30000,30000,30000,30000,27800
EL CAJON BLVD,43RD ST,FAIRMOUNT AVE,"(32.7552174, -117.1018856)","(32.7552174, -117.1018856)",33700,33700,33700,24700,24700
EL CAJON BLVD,FAIRMOUNT AVE,EUCLID AVE,"(32.7551936, -117.1008364)","(32.7551936, -117.1008364)",28600,28500,28500,28500,26100
EL CAJON BLVD,EUCLID AVE,54TH ST,"(32.7560626, -117.0922059)","(32.7560626, -117.0922059)",24300,22700,25000,25000,20800
EL CAJON BLVD,54TH ST,COLLEGE AVE,"(32.7579231, -117.079284)","(32.7579231, -117.079284)",22100,22500,22500,22500,18900
EL CAJON BLVD,COLLEGE AVE,63RD ST,"(32.7613114, -117.0669206)","(32.7613114, -117.0669206)",22300,22300,17000,17000,17000
EL CAJON BLVD,63RD ST,ROLANDO BLVD,"(32.763635, -117.0630029)","(32.763635, -117.0630029)",17700,17700,20600,20600,20600
EL CAJON BLVD,ROLANDO BLVD,MONTEZUMA RD,"(32.7669411, -117.0573397)","(32.7669411, -117.0573397)",18600,18600,18000,18000,18000
EL CAJON BLVD,MONTEZUMA RD,70TH ST,"(32.7683114, -117.0542067)","(32.7683114, -117.0542067)",20500,20500,22000,22000,22000
EL CAJON BLVD,70TH ST,HARBINSON AVE,"(32.7686461, -117.0469864)","(32.7686461, -117.0469864)",17100,17100,17000,17000,17000
EL CAMINO REAL,VIA DE LA VALLE,HALF MILE DR,"(32.9827049, -117.2305015)","(32.9827049, -117.2305015)",15100,13100,13100,14400,16700
EL CAMINO REAL,HALF MILE DR,QUARTER MILE DR,"(32.9620026, -117.2342124)","(32.9620026, -117.2342124)",12600,12600,12600,17900,17900
EL CAMINO REAL,QUARTER MILE DR,DEL MAR HEIGHTS RD,"(32.9566722, -117.2344131)","(32.9566722, -117.2344131)",14300,14300,14500,13900,15600
EL CAMINO REAL,DEL MAR HEIGHTS RD,HIGH BLUFF DR,"(32.9537787, -117.2339629)","(32.9537787, -117.2339629)",16900,16900,18100,18100,18100
EL CAMINO REAL,HIGH BLUFF DR,VALLEY CENTRE DR,"(32.9438365, -117.2393526)","(32.9438365, -117.2393526)",19600,19600,19600,18900,18400
EL CAMINO REAL,VALLEY CENTRE DR,CARMEL VALLEY RD/ROUTE 56,"(32.9360404, -117.2378993)","(32.9360404, -117.2378993)",27400,27400,27400,26900,25600
EL CAMINO REAL,ROUTE 56,CARMEL MOUNTAIN RD,"(32.9321586, -117.2364096)","(32.9321586, -117.2364096)",15800,15800,15800,16300,16300
ELM AVE,13TH ST,SATURN BLVD,"(32.5806595, -117.1056911)","(32.5806595, -117.1056911)",3300,3800,3100,3700,3700
ELM ST,1ST AVE,4TH AVE,"(32.7240439, -117.1638834)","(32.7240439, -117.1638834)",6400,6600,6600,6600,5800
ELM ST,4TH AVE,6TH AVE,"(32.724075, -117.1611481)","(32.724075, -117.1611481)",9100,7600,7600,6300,6600
ENGINEER RD,RUFFNER ST,CONVOY ST,"(32.8272019, -117.1580718)","(32.8272019, -117.1580718)",3700,3700,3700,3700,3700
ENGINEER RD,CONVOY ST,MERCURY ST,"(32.8267939, -117.1543599)","(32.8267939, -117.1543599)",3900,4200,4200,4200,4200
ENGINEER RD,MERCURY ST,KEARNY MESA RD,"(32.8247819, -117.1489636)","(32.8247819, -117.1489636)",5000,4400,4400,4400,4400
ENRICO FERMI DR,AIRWAY RD,SIEMPRE VIVA RD,"(32.5600293, -116.9278371)","(32.5600293, -116.9278371)",4600,4600,4600,4900,4900
ENTERPRISE ST,SPORTS ARENA BLVD,MIDWAY DR,"(32.7431431, -117.2101025)","(32.7431431, -117.2101025)",5100,5100,5100,4000,4000
ESCALA DR,BERNARDO CENTER DR,POMERADO RD,"(33.0323102, -117.0754998)","(33.0323102, -117.0754998)",3400,3400,3400,3600,3600
EUCLID AVE,ADAMS AVE,MONROE AVE,"(32.7619631, -117.0911928)","(32.7619631, -117.0911928)",2900,2900,2800,2800,2800
EUCLID AVE,MONROE AVE,EL CAJON BLVD,"(32.7590321, -117.0920838)","(32.7590321, -117.0920838)",10100,10100,6900,6900,6900
